Date,Scrip,Sector,Close,Return_252d_%,Return_50d_%,Return_20d_%,Rank_252d,Rank_50d,Rank_20d,Combined_Score_%,Overall_Rank,In_Portfolio,Sharpe_252d,RSI_14,Volatility_%,EMA200,Above_EMA200
2024-09-02,NIFTYBEES,ETF - Top 50,281.45,31.83,7.54,2.09,8,3,4,13.82,8,,2.6,84.5,10.9,252.2,YES
2024-09-02,GOLDBEES,ETF - GOLD,60.25,21.28,-1.28,0.97,9,10,5,6.99,9,,1.68,65.9,11.9,57.76,YES
2024-09-02,BANKBEES,ETF - Bank,527.41,17.71,-0.55,0.06,10,9,8,5.74,10,,1.27,63.7,13.6,497.37,YES
2024-09-02,GILT5YBEES,ETF - Fixed Income,57.39,8.94,2.08,0.09,12,8,7,3.7,11,,4.12,50.0,2.1,55.64,YES
2024-09-02,SILVERBEES,ETF - SILVER,80.89,16.0,-8.6,-1.4,11,12,10,2.0,12,,0.8,55.1,21.3,79.18,YES
2024-10-01,CPSEETF,ETF - CPSE,100.94,90.02,1.36,-1.32,1,11,11,30.02,1,YES,2.6,71.0,26.0,88.8,YES
2024-10-01,JUNIORBEES,ETF - Next 50,821.83,69.5,6.71,2.27,2,4,6,26.16,2,YES,3.5,73.2,15.4,710.63,YES
2024-10-01,ICICIB22,ETF - Bharat 22 Index,120.38,59.76,3.61,1.47,3,6,7,21.61,3,YES,2.35,80.4,20.9,107.52,YES
2024-10-01,HDFCSML250,ETF - SmallCap,186.42,52.65,7.06,1.41,4,2,8,20.37,4,YES,2.71,60.4,16.1,164.28,YES
2024-10-01,MNC,ETF - MNC,33.08,48.34,6.74,5.59,5,3,2,20.22,5,,2.39,76.5,17.1,28.78,YES
2024-10-01,TNIDETF,ETF - Digital,98.78,47.43,9.98,1.11,6,1,9,19.5,6,YES,2.8,52.3,14.2,85.4,YES
2024-10-01,NIFTYBEES,ETF - Top 50,288.27,31.27,5.81,2.33,8,5,5,13.13,7,,2.51,77.8,11.1,260.47,YES
2024-10-01,GOLDBEES,ETF - GOLD,63.59,26.22,2.43,5.35,9,8,3,11.33,8,,1.97,82.7,12.2,58.74,YES
2024-10-01,SILVERBEES,ETF - SILVER,87.67,23.34,1.59,8.88,10,10,1,11.27,9,,1.07,72.4,21.8,80.47,YES
2024-10-01,BANKBEES,ETF - Bank,544.36,17.65,1.74,2.76,11,9,4,7.38,10,,1.24,70.5,13.8,509.97,YES
2024-10-01,PSUBNKBEES,ETF - PSU Bank,75.39,31.39,-7.45,-3.12,7,12,12,6.94,11,,1.13,64.2,27.7,75.33,YES
2024-10-01,GILT5YBEES,ETF - Fixed Income,58.05,9.43,2.44,1.03,12,7,10,4.3,12,,3.67,60.3,2.5,56.12,YES
2024-11-01,CPSEETF,ETF - CPSE,92.18,75.31,-9.8,-6.91,1,12,10,19.54,1,YES,2.27,26.7,26.3,90.76,YES
2024-11-01,SILVERBEES,ETF - SILVER,94.27,32.92,13.72,4.91,8,1,1,17.18,2,,1.38,65.9,22.5,82.36,YES
2024-11-01,ICICIB22,ETF - Bharat 22 Index,113.48,54.27,-3.4,-2.95,3,8,7,15.97,3,YES,2.17,37.0,21.1,109.61,YES
2024-11-01,JUNIORBEES,ETF - Next 50,746.59,60.71,-6.3,-7.05,2,11,11,15.79,4,YES,3.04,15.7,16.1,728.41,YES
2024-11-01,GOLDBEES,ETF - GOLD,66.92,29.84,10.7,4.58,9,2,2,15.04,5,,2.22,79.9,12.1,59.97,YES
2024-11-01,HDFCSML250,ETF - SmallCap,178.22,48.08,-1.68,-2.61,4,5,6,14.6,6,YES,2.44,39.9,16.7,168.3,YES
2024-11-01,PSUBNKBEES,ETF - PSU Bank,74.86,41.89,-4.72,-0.53,6,9,5,12.21,7,,1.42,53.9,27.4,75.17,NO
2024-11-01,TNIDETF,ETF - Digital,92.71,42.52,-3.1,-4.24,5,7,9,11.72,8,YES,2.54,22.9,14.4,88.04,YES
2024-11-01,NIFTYBEES,ETF - Top 50,270.64,26.96,-2.11,-3.39,10,6,8,7.15,9,,2.18,21.9,11.3,264.38,YES
2024-11-01,BANKBEES,ETF - Bank,529.64,20.15,1.3,-0.05,11,3,4,7.13,10,,1.37,48.0,14.2,513.87,YES
2024-11-01,MNC,ETF - MNC,29.75,34.43,-5.59,-8.46,7,10,12,6.8,11,,1.85,16.4,16.7,29.35,YES
2024-11-01,GILT5YBEES,ETF - Fixed Income,58.08,9.61,0.96,0.43,12,4,3,3.66,12,,3.7,50.0,2.5,56.57,YES
2024-12-02,CPSEETF,ETF - CPSE,91.54,60.51,-6.18,-0.69,1,11,9,17.88,1,YES,1.91,48.3,26.6,92.28,NO
2024-12-02,JUNIORBEES,ETF - Next 50,759.95,52.88,-5.02,1.79,2,10,2,16.55,2,YES,2.64,57.7,16.6,735.0,YES
2024-12-02,TNIDETF,ETF - Digital,99.04,41.06,0.82,6.83,4,5,1,16.24,3,YES,2.4,66.9,14.8,89.65,YES
2024-12-02,ICICIB22,ETF - Bharat 22 Index,113.06,45.19,-2.56,-0.37,3,7,8,14.09,4,YES,1.84,48.6,21.5,111.15,YES
2024-12-02,PSUBNKBEES,ETF - PSU Bank,75.81,35.13,2.09,1.27,6,2,3,12.83,5,,1.22,47.9,27.9,76.82,NO
2024-12-02,HDFCSML250,ETF - SmallCap,179.13,37.23,-3.67,0.51,5,8,6,11.36,6,YES,1.92,53.2,17.3,170.59,YES
2024-12-02,MNC,ETF - MNC,29.42,30.99,-7.08,-1.11,7,12,10,7.6,7,,1.65,45.3,17.3,29.38,YES
2024-12-02,GOLDBEES,ETF - GOLD,63.76,22.9,3.37,-4.72,9,1,11,7.18,8,,1.62,44.3,13.2,60.71,YES
2024-12-02,NIFTYBEES,ETF - Top 50,271.38,24.26,-4.23,0.27,8,9,7,6.77,9,,1.91,52.4,11.7,265.21,YES
2024-12-02,BANKBEES,ETF - Bank,534.34,19.9,-1.18,0.89,11,6,5,6.54,10,,1.32,54.8,14.5,513.43,YES
2024-12-02,SILVERBEES,ETF - SILVER,86.04,20.2,1.27,-8.73,10,4,12,4.25,11,,0.91,42.4,23.3,83.09,YES
2024-12-02,GILT5YBEES,ETF - Fixed Income,58.8,9.8,1.64,1.24,12,3,4,4.23,12,,3.71,82.4,2.5,56.92,YES
2025-01-01,TNIDETF,ETF - Digital,99.79,33.78,3.35,0.62,1,1,1,12.58,1,YES,2.13,33.5,14.2,91.9,YES
